train_fraction	train_fraction_tag	seed	split_manifest_path	split_version	train_count	val_count	test_count	train_positive_count	val_positive_count	test_positive_count	base_split_version
0.1	10	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1029	837	120	2393	77	11	219	frozen_protocol_v1_seed20260409_test20_val10
0.1	10	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1030	837	120	2393	77	11	219	frozen_protocol_v1_seed20260409_test20_val10
0.1	10	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1031	837	120	2393	77	11	219	frozen_protocol_v1_seed20260409_test20_val10
0.1	10	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1032	837	120	2393	77	11	219	frozen_protocol_v1_seed20260409_test20_val10
0.1	10	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1033	837	120	2393	77	11	219	frozen_protocol_v1_seed20260409_test20_val10
0.2	20	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1029	1674	240	2393	154	22	219	frozen_protocol_v1_seed20260409_test20_val10
0.2	20	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1030	1674	240	2393	154	22	219	frozen_protocol_v1_seed20260409_test20_val10
0.2	20	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1031	1674	240	2393	154	22	219	frozen_protocol_v1_seed20260409_test20_val10
0.2	20	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1032	1674	240	2393	154	22	219	frozen_protocol_v1_seed20260409_test20_val10
0.2	20	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1033	1674	240	2393	154	22	219	frozen_protocol_v1_seed20260409_test20_val10
0.3	30	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_30/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train30_seed1029	2512	359	2393	230	33	219	frozen_protocol_v1_seed20260409_test20_val10
0.3	30	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_30/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train30_seed1030	2512	359	2393	230	33	219	frozen_protocol_v1_seed20260409_test20_val10
0.3	30	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_30/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train30_seed1031	2512	359	2393	230	33	219	frozen_protocol_v1_seed20260409_test20_val10
0.3	30	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_30/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train30_seed1032	2512	359	2393	230	33	219	frozen_protocol_v1_seed20260409_test20_val10
0.3	30	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_30/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train30_seed1033	2512	359	2393	230	33	219	frozen_protocol_v1_seed20260409_test20_val10
0.4	40	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_40/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train40_seed1029	3349	479	2393	307	44	219	frozen_protocol_v1_seed20260409_test20_val10
0.4	40	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_40/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train40_seed1030	3349	479	2393	307	44	219	frozen_protocol_v1_seed20260409_test20_val10
0.4	40	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_40/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train40_seed1031	3349	479	2393	307	44	219	frozen_protocol_v1_seed20260409_test20_val10
0.4	40	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_40/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train40_seed1032	3349	479	2393	307	44	219	frozen_protocol_v1_seed20260409_test20_val10
0.4	40	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_40/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train40_seed1033	3349	479	2393	307	44	219	frozen_protocol_v1_seed20260409_test20_val10
0.5	50	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_50/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train50_seed1029	4187	599	2393	384	55	219	frozen_protocol_v1_seed20260409_test20_val10
0.5	50	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_50/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train50_seed1030	4187	599	2393	384	55	219	frozen_protocol_v1_seed20260409_test20_val10
0.5	50	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_50/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train50_seed1031	4187	599	2393	384	55	219	frozen_protocol_v1_seed20260409_test20_val10
0.5	50	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_50/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train50_seed1032	4187	599	2393	384	55	219	frozen_protocol_v1_seed20260409_test20_val10
0.5	50	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_50/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train50_seed1033	4187	599	2393	384	55	219	frozen_protocol_v1_seed20260409_test20_val10
0.6	60	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_60/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train60_seed1029	5025	718	2393	461	66	219	frozen_protocol_v1_seed20260409_test20_val10
0.6	60	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_60/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train60_seed1030	5025	718	2393	461	66	219	frozen_protocol_v1_seed20260409_test20_val10
0.6	60	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_60/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train60_seed1031	5025	718	2393	461	66	219	frozen_protocol_v1_seed20260409_test20_val10
0.6	60	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_60/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train60_seed1032	5025	718	2393	461	66	219	frozen_protocol_v1_seed20260409_test20_val10
0.6	60	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_60/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train60_seed1033	5025	718	2393	461	66	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1029	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1030	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1031	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1032	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.7	70	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_70/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train70_seed1033	5862	838	2393	538	77	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1029	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1030	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1031	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1032	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.8	80	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_80/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train80_seed1033	6699	958	2393	614	88	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1029	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1029.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1029	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1030	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1030.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1030	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1031	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1031.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1031	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1032	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1032.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1032	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
0.9	90	1033	results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_90/split_seed_1033.tsv	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train90_seed1033	7537	1077	2393	691	99	219	frozen_protocol_v1_seed20260409_test20_val10
