protocol	species	regime	model	feature_setting	feature_contract_group	label_regime	split_version	graph_source	graph_contract	threshold_strategy	evaluation_contract	label_manifest	split_manifest	config_used	is_deterministic	require_true_node2vec	embedding_method	embedding_backend	fallback_used	n_runs	seed_list	run_ids	test_auroc_mean	test_auroc_std	test_auprc_mean	test_auprc_std	test_mcc_mean	test_mcc_std	test_f1_mean	test_f1_std	test_precision_mean	test_precision_std	test_recall_mean	test_recall_std	test_accuracy_mean	test_accuracy_std	test_specificity_mean	test_specificity_std	val_auroc_mean	val_auroc_std	val_auprc_mean	val_auprc_std	val_mcc_mean	val_mcc_std	val_f1_mean	val_f1_std	val_precision_mean	val_precision_std	val_recall_mean	val_recall_std	val_accuracy_mean	val_accuracy_std	val_specificity_mean	val_specificity_std	target
fgraminearum_newlabel	fgraminearum	newlabel	GCN	SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.7501449855014498	0.00477702104943732	0.24748972267592428	0.015391051548340001	0.21056020609324677	0.004875116757667013	0.27227614199933897	0.004891953521907158	0.16568774469337977	0.004776012672027555	0.7662100456621004	0.03142401924033836	0.6051011433597185	0.023983315789291058	0.5879318734793187	0.029753656940772033	0.758437638311056	0.0028227199641413163	0.24091885295647036	0.016404963448365943	0.19672290427991396	0.008397362685692324	0.2656201468519752	0.0033714124563272285	0.1618975024641945	0.002772691210515543	0.7418181818181818	0.04049283172967288	0.6031662269129288	0.021022988451473934	0.5883154819863681	0.027426141132223837	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8294981612949816	0.018839249667832993	0.37744301927749724	0.019724323654535466	0.33611629795173836	0.0255987701004331	0.3784536356710174	0.016725883623705206	0.2533913140543571	0.011376303077333776	0.7497716894977169	0.05398179618678229	0.7629727352682497	0.012403862030124706	0.7643795620437956	0.016975646606649266	0.7931043639904398	0.01849618407334535	0.3601387858824484	0.025604089471263212	0.28506297715892626	0.021839660311977226	0.3444489916147521	0.01479314366156718	0.23197767024931482	0.010474763090395774	0.6709090909090909	0.04685126809718224	0.7530343007915568	0.012966696565686633	0.7618305744888024	0.017403003398441204	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8470904020709039	0.0029617636341379753	0.4271034784998414	0.005355767338615676	0.372381636537945	0.006548397355950583	0.4076384210345306	0.008106485572323041	0.2761229463218241	0.008998748020432058	0.7799086757990867	0.01643835616438355	0.7814423922603342	0.011358933538056587	0.7816058394160584	0.014165181818908208	0.8121572098787289	0.004755317257285848	0.4078671162279067	0.00374886995539832	0.3117342554718971	0.00291847091483216	0.36499657198158186	0.005252915765224795	0.24757972262598088	0.007718575545330966	0.6963636363636363	0.02342563404859113	0.7653474054529463	0.012822724340269185	0.7727361246348589	0.01667973756990369	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	ORT		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8482256218822561	0.011068552927361135	0.4304157937086652	0.024500878029265247	0.38152995484988644	0.023198760147123777	0.4183491006001755	0.023459838046831806	0.28794631723910447	0.0234644070288766	0.7698630136986301	0.015712009620169182	0.7924362357080035	0.023234649983770218	0.7948418491484184	0.026826028518714243	0.8091033017615296	0.008348841435339724	0.393974062854496	0.012446159988581703	0.316890751578076	0.015102197700303618	0.37366599097987796	0.015426851198718098	0.2604075318180629	0.018307463967682683	0.6672727272727272	0.03180519215370162	0.7825857519788919	0.022148226587055547	0.7949367088607595	0.027358300804418204	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	ORT_EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.852558299725583	0.008285383224764142	0.43379327527288253	0.008777802272378893	0.39683901502236524	0.015865809213197742	0.43859951459746044	0.020989385637251612	0.3168557042301918	0.03549569960847509	0.7305936073059359	0.05861847136394963	0.8182058047493402	0.02675871684246137	0.8275425790754258	0.035563221034800176	0.8154757900327521	0.008152539896502555	0.3997432540728722	0.010485423864382977	0.32044176308560657	0.012903213386565318	0.38096507872215823	0.015678082484602122	0.2781610267025203	0.03347913603661998	0.6254545454545454	0.06438520439863919	0.8017590149516272	0.03006629462687283	0.8206426484907497	0.040040198662750624	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8464604650646047	0.006479742868978757	0.42741715494192256	0.016988366418247452	0.3837382468119953	0.029098645374092437	0.4243324251463558	0.03493493756513022	0.3000327235810719	0.04188776306270562	0.7452054794520547	0.04713602886050754	0.8013192612137203	0.040176648530469254	0.8072992700729926	0.049360434995091663	0.8118863415065947	0.0038597743991994216	0.3986412554348114	0.004351946747800078	0.30483443020466305	0.008581699383823485	0.36502991499552684	0.015085092271663268	0.25846317023064097	0.026362923461712748	0.6418181818181818	0.07240839182450864	0.781882145998241	0.03848184430329196	0.7968841285296981	0.05025172972475748	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	ORT_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8490819806908199	0.006998630842132389	0.4462153402556014	0.02135876793819362	0.378558011028609	0.04256322878863161	0.4168367546375169	0.052015110898200864	0.29639054188685837	0.06439081029826063	0.7579908675799086	0.08330048767847582	0.7853122251539137	0.06869082889825005	0.7882238442822385	0.08441182869482175	0.8100849783128264	0.007921618341436933	0.40733364653366716	0.0061441798396935175	0.3168687641048496	0.043191342630478816	0.373861656865066	0.04842026321359656	0.27024335481659334	0.0643733451414593	0.6636363636363637	0.08191912964413679	0.7734388742304309	0.07365758278914367	0.7851996105160662	0.09025108401477318	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GIN	SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8260158428601585	0.02477601308699036	0.40008105438853125	0.039013499669046214	0.3675059964549961	0.042136266069400186	0.41411210109655433	0.04281951474043763	0.3355004406407347	0.05174643379378782	0.623744292237443	0.17275970732147478	0.8342128408091469	0.038006529323028775	0.8566423357664232	0.058807619789434475	0.7928202177569267	0.015304517236541736	0.38105157129625916	0.024272387069443072	0.30914122990737913	0.015734306674317	0.3725040673965752	0.01676819511847771	0.31054967053867905	0.06935582687085008	0.5290909090909091	0.11461758190890536	0.8270888302550571	0.040885652969736744	0.8590068159688412	0.05697791870418107	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8639011654390117	0.012475197178043539	0.45746009844608154	0.014929421278349429	0.37710200138563515	0.019177994472648598	0.41253593804596395	0.015337307220208157	0.28074121305038213	0.012219385403756432	0.7780821917808219	0.02013279240643707	0.7863676341248901	0.009433307073204524	0.7872506082725061	0.009336980987025931	0.8586252987518808	0.008316033586840464	0.48600948978874825	0.021672464732122993	0.36799189908845037	0.020161899636087503	0.4110733994469841	0.01676895739687368	0.2849419765371094	0.013973812058256051	0.738181818181818	0.017627926754241206	0.7950747581354441	0.010510022336879275	0.8011684518013631	0.010512459260966545	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.87328600473286	0.001952895075864412	0.47255735427193823	0.00701833679805593	0.39469664278831257	0.0016847168353011823	0.4264767999294986	0.0015271616618573517	0.29146936369656706	0.00158165991712773	0.7945205479452054	0.00408414242465715	0.7941952506596306	0.001736888096581477	0.7941605839416058	0.002240557553911697	0.8531380012392671	0.0024750224873463446	0.47708610435378584	0.006246617134130701	0.3494299970208731	0.010461329887030106	0.39433017034115936	0.007565868966358105	0.26976794445914487	0.005348915647253286	0.7327272727272728	0.01585054161287519	0.7822339489885664	0.0037971914063188953	0.7875365141187926	0.004009982528135153	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8485127042851272	0.0024355859474905904	0.4581891804197692	0.004565999505046207	0.39918744746805607	0.018054120250365974	0.43980614274585594	0.01738315174147459	0.3125532442715245	0.01754552817824543	0.7433789954337898	0.0034170387093826003	0.817150395778364	0.012222939126016316	0.8250121654501218	0.013403124217477715	0.8021819952199698	0.006609759166942258	0.3798287885867151	0.003695979788625586	0.30916500790578294	0.00858651782704576	0.37102104441869377	0.008049271845530406	0.26260963661095293	0.00863488342887408	0.6327272727272728	0.010909090909090927	0.7922603342128408	0.009027706188465342	0.8093476144109056	0.010762026780641153	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8702098679020986	0.0031363394852412913	0.47534071649540854	0.010212896048580857	0.42876689996995554	0.01630227556613517	0.4623898750463237	0.017120613040475012	0.32887912204270403	0.01897256102278059	0.7808219178082192	0.01118488467024283	0.8246262093227792	0.01286428138679143	0.829294403892944	0.015040826469645921	0.8355775869699921	0.0059248996166203745	0.43906056927895143	0.0013825524134293314	0.35471979484925925	0.008913334862494494	0.40552914861149014	0.011146912028884048	0.28763417013552584	0.01566722154306836	0.690909090909091	0.022998382983042732	0.8035180299032542	0.014723280885024842	0.8155793573515092	0.01868508325812813	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8711044451110445	0.001800117028259981	0.4770497037214705	0.007259680840292612	0.4441068353151888	0.007882889487802384	0.47932347363660954	0.008226761750731266	0.34799072546953774	0.00995510168078092	0.7707762557077625	0.01366815483753036	0.8386103781882147	0.0067441651759650835	0.8458394160583943	0.008497860808931626	0.8318916526511464	0.0023872621587963418	0.4490072076323302	0.006142204474084686	0.367624492360206	0.010589857070479058	0.4193945625530522	0.009098879913133765	0.3032559419190436	0.008373016876902579	0.6799999999999999	0.010601730717900531	0.8177660510114336	0.005601295805836647	0.8325219084712756	0.006033859156700918	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8625346354253465	0.002246205348313097	0.4699956769946218	0.004700895480393055	0.42093757835951173	0.010748338067440391	0.4596791112296394	0.00982319678031044	0.33114234429991957	0.009317176855115777	0.7515981735159818	0.005479452054794505	0.8297273526824978	0.005980650835532121	0.8380535279805352	0.006234790220164278	0.8047702929981412	0.005250390471654963	0.39668282070755645	0.005244003637000521	0.32693738255901017	0.0055738978296305	0.3872908697351599	0.003889996940003889	0.2790767547536461	0.0025776661396700955	0.6327272727272727	0.012331509060227754	0.8063324538258575	0.0022526382541540216	0.8249269717624148	0.003395442215026813	fgraminearum
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv				results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	False					5	1029,1030,1031,1032,1033	seed_1029,seed_1030,seed_1031,seed_1032,seed_1033	0.8648650690486507	0.005656272803949289	0.47393174094569374	0.008407271126985093	0.37869414687600095	0.017310604717570465	0.41394800907346985	0.01673288315706654	0.28212388081254763	0.015856215858376106	0.7789954337899543	0.009402401955239286	0.7869832893579595	0.014702776743436235	0.7878345498783456	0.016565037258827423	0.8079392759139596	0.005363416314867549	0.40322034319971706	0.007311184599217365	0.28904963393311023	0.015621120811036799	0.3503977142934824	0.013921540927204686	0.23942309096407452	0.013078811095326328	0.6545454545454545	0.0	0.7646437994722955	0.014144492871046362	0.7764362220058423	0.015659482370379445	fgraminearum
